
Source                                    CommandType Synopsis
------                                    ----------- --------
Appx                                            Alias 
Appx                                            Alias 
Dism                                            Alias Add-AppxProvisionedPackage -Path <string> [-FolderPath <string>] [-PackagePath <string>] [-DependencyPackagePath <string[]>] [-OptionalPackagePath <string[]>] [-LicensePath <string[]>] [-SkipL…
Dism                                            Alias Add-AppxProvisionedPackage -Path <string> [-FolderPath <string>] [-PackagePath <string>] [-DependencyPackagePath <string[]>] [-OptionalPackagePath <string[]>] [-LicensePath <string[]>] [-SkipL…
Dism                                            Alias Add-AppProvisionedSharedPackageContainer -DefinitionFile <string> -Path <string> [-WindowsDirectory <string>] [-SystemDrive <string>] [-LogPath <string>] [-ScratchDirectory <string>] [-LogLeve…
Dism                                            Alias Add-AppxProvisionedPackage -Path <string> [-FolderPath <string>] [-PackagePath <string>] [-DependencyPackagePath <string[]>] [-OptionalPackagePath <string[]>] [-LicensePath <string[]>] [-SkipL…
Provisioning                                    Alias Install-ProvisioningPackage [-PackagePath] <string> [-ForceInstall] [-QuietInstall] [-LogsDirectoryPath <string>] [-WprpFile <string>] [-ConnectedDevice] [<CommonParameters>]
Provisioning                                    Alias Install-TrustedProvisioningCertificate [-CertificatePath] <string> [-ForceInstall] [-LogsDirectoryPath <string>] [-WprpFile <string>] [-ConnectedDevice] [<CommonParameters>]
Dism                                            Alias Use-WindowsUnattend -UnattendPath <string> -Path <string> [-NoRestart] [-WindowsDirectory <string>] [-SystemDrive <string>] [-LogPath <string>] [-ScratchDirectory <string>] [-LogLevel <LogLeve…
Storage                                         Alias Disable-PhysicalDiskIdentification [-FriendlyName] <string> [-CimSession <CimSession>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Disable-PhysicalDiskIdentification -UniqueId <string>…
Storage                                         Alias Stop-StorageDiagnosticLog [-StorageSubSystemFriendlyName] <string[]> [-CimSession <CimSession[]>] [-ThrottleLimit <int>] [-AsJob] [-PassThru] [<CommonParameters>]Stop-StorageDiagnosticLog -Sto…
Appx                                            Alias 
Storage                                         Alias Enable-PhysicalDiskIdentification [-FriendlyName] <string> [-CimSession <CimSession>] [-ThrottleLimit <int>] [-AsJob] [<CommonParameters>]Enable-PhysicalDiskIdentification -UniqueId <string> […
